pays,code_pays,année,produit,code_produit,dispo_int,dispo_kcal,dispo_kg,pertes,autres_utilisations
Angola,7,2013,Palmistes,2562,23000.0,,,,2000.0
Angola,7,2013,"Plantes Oleiferes, Autre",2570,4000.0,,,0.0,0.0
Angola,7,2013,Huile de Soja,2571,92000.0,87.0,3.61,,15000.0
Angola,7,2013,Huile d'Arachide,2572,17000.0,19.0,0.77,,
Angola,7,2013,Huile de Tournesol,2573,5000.0,5.0,0.22,,
Angola,7,2013,Huile de Colza&Moutarde,2574,1000.0,1.0,0.04,,
Angola,7,2013,Huile Graines de Coton,2575,1000.0,1.0,0.03,,
Angola,7,2013,Huile de Palmistes,2576,9000.0,8.0,0.33,,2000.0
Angola,7,2013,Huile de Palme,2577,260000.0,73.0,3.03,,195000.0
Angola,7,2013,Huile de Coco,2578,0.0,0.0,0.0,,
Angola,7,2013,Huile d'Olive,2580,4000.0,5.0,0.21,,
